order, degree_x, degree_y, coefficient, term
11, 6, 5, -509 / 9979200, "[X, [[X, [X, Y]], [[X, [[[X, Y], Y], Y]], [X, Y]]]]"
11, 5, 6, -31 / 2661120, "[X, [[X, [X, Y]], [X, [[[[[X, Y], Y], Y], Y], Y]]]]"
11, 7, 4, -1 / 415800, "[[X, [[X, [X, Y]], [X, Y]]], [X, [X, [[X, Y], Y]]]]"
11, 7, 4, 1 / 332640, "[[X, [[X, [X, Y]], [X, Y]]], [[X, [X, Y]], [X, Y]]]"
11, 6, 5, -1 / 69300, "[X, [[[X, [X, Y]], [X, Y]], [X, [[[X, Y], Y], Y]]]]"
11, 7, 4, 13 / 1663200, "[[X, [[[X, [X, Y]], [X, Y]], [X, Y]]], [X, [X, Y]]]"
11, 6, 5, 1 / 6652800, "[X, [X, [[X, Y], [[X, Y], [[X, Y], [[X, Y], Y]]]]]]"
11, 6, 5, 13 / 415800, "[X, [[X, [[X, Y], [[X, Y], [[X, Y], Y]]]], [X, Y]]]"
11, 5, 6, 43 / 2661120, "[X, [X, [[X, Y], [[X, Y], [[[[X, Y], Y], Y], Y]]]]]"
11, 6, 5, -1 / 950400, "[X, [[X, [[X, Y], [[X, Y], Y]]], [X, [[X, Y], Y]]]]"
11, 6, 5, 13 / 1108800, "[X, [[[X, [[X, Y], [[X, Y], Y]]], [X, Y]], [X, Y]]]"
11, 5, 6, 1 / 190080, "[X, [X, [[X, Y], [[[X, Y], Y], [[[X, Y], Y], Y]]]]]"
11, 6, 5, -73 / 9979200, "[[X, [X, [[X, Y], [[[X, Y], Y], Y]]]], [X, [X, Y]]]"
11, 5, 6, -23 / 665280, "[X, [X, [[[X, Y], [[[X, Y], Y], Y]], [[X, Y], Y]]]]"
11, 5, 6, -29 / 887040, "[X, [[X, [[X, Y], [[[[X, Y], Y], Y], Y]]], [X, Y]]]"
11, 4, 7, -7 / 950400, "[X, [X, [[X, Y], [[[[[[X, Y], Y], Y], Y], Y], Y]]]]"
11, 6, 5, 7 / 2851200, "[[X, [X, [[X, Y], Y]]], [X, [X, [[[X, Y], Y], Y]]]]"
11, 7, 4, 1 / 277200, "[[[X, [X, [[X, Y], Y]]], [X, [X, Y]]], [X, [X, Y]]]"
11, 6, 5, 1 / 266112, "[[X, [X, [[X, Y], Y]]], [X, [[X, Y], [[X, Y], Y]]]]"
